average,label,metric,internal,external,absolute_drop,relative_drop
label,Atelectasis,auroc,0.6791184096802073,0.6172401373870113,0.06187827229319598,0.09111558663581816
label,Atelectasis,auprc,0.2224595346524928,0.15650374595658806,0.06595578869590474,0.2964844316470194
label,Atelectasis,sensitivity,0.2584269662921319,0.12977099236641124,0.12865597392572067,0.49784268171257695
label,Atelectasis,specificity,0.8846153846153832,0.8365937859608736,0.04802159865450961,0.05428528543553269
label,Atelectasis,f1,0.2459893048128329,0.11724137931034441,0.12874792550248848,0.5233883058470755
label,Atelectasis,accuracy,0.8092016238159664,0.7439999999999992,0.06520162381596717,0.08057525083612008
label,Atelectasis,ppv,0.234693877551018,0.10691823899371003,0.12777563855730797,0.5444353295050569
label,Atelectasis,npv,0.897035881435256,0.8644470868014258,0.03258879463383024,0.036329421496148206
label,Cardiomegaly,auroc,0.6753155680224403,0.7795960445191769,-0.10428047649673655,-0.15441740341053617
label,Cardiomegaly,auprc,0.1185064147652075,0.5647945308858178,-0.44628811612061026,-3.7659405780254587
label,Cardiomegaly,sensitivity,0.2307692307692219,0.23913043478260781,-0.008361204013385914,-0.03623188405800702
label,Cardiomegaly,specificity,0.9523141654978948,0.9558011049723744,-0.0034869394744795335,-0.0036615432184151854
label,Cardiomegaly,f1,0.181818181818179,0.35294117647058726,-0.17112299465240827,-0.9411764705882602
label,Cardiomegaly,accuracy,0.9269282814614332,0.7579999999999992,0.16892828146143402,0.1822452554744524
label,Cardiomegaly,ppv,0.1499999999999962,0.6734693877550952,-0.5234693877550991,-3.489795918367416
label,Cardiomegaly,npv,0.9713876967095836,0.7671840354767175,0.20420366123286604,0.21021849661527775
label,Pleural Effusion,auroc,0.7093199359254405,0.8106419709737829,-0.10132203504834236,-0.14284391276293232
label,Pleural Effusion,auprc,0.3352985689436172,0.6374110488760347,-0.3021124799324175,-0.9010252590228617
label,Pleural Effusion,sensitivity,0.6697247706421957,0.6631944444444421,0.006530326197753622,0.009750761035002073
label,Pleural Effusion,specificity,0.6111111111111102,0.8103932584269651,-0.19928214731585492,-0.3260980592441267
label,Pleural Effusion,f1,0.3419203747072591,0.6221498371335494,-0.2802294624262903,-0.8195752086029195
label,Pleural Effusion,accuracy,0.6197564276048706,0.7679999999999992,-0.14824357239512864,-0.23919650655021882
label,Pleural Effusion,ppv,0.2295597484276722,0.5858895705521454,-0.3563298221244732,-1.5522312799394908
label,Pleural Effusion,npv,0.9144893111638932,0.8560830860534112,0.05840622511048199,0.06386758641951423
label,Pneumothorax,auroc,0.6462389833982374,0.6566220573137125,-0.010383073915475105,-0.016066925985919137
label,Pneumothorax,auprc,0.1981846917833322,0.0915800322038093,0.1066046595795229,0.537905620359769
label,Pneumothorax,sensitivity,0.3809523809523719,0.35593220338982445,0.02502017756254743,0.06567796610168856
label,Pneumothorax,specificity,0.856527977044475,0.7821466524973424,0.07438132454713264,0.08684050788836102
label,Pneumothorax,f1,0.2025316455696189,0.14736842105263104,0.05516322451698785,0.2723684210526294
label,Pneumothorax,accuracy,0.8294993234100124,0.7569999999999992,0.0724993234100132,0.08740130505709595
label,Pneumothorax,ppv,0.1379310344827574,0.09292035398230047,0.04501068050045692,0.32632743362831557
label,Pneumothorax,npv,0.9582664526484737,0.9509043927648566,0.007362059883617045,0.007682685607191668
label,Consolidation,auroc,0.6176532252428543,0.7447411255411256,-0.12708790029827133,-0.2057593081430147
label,Consolidation,auprc,0.0758888840793174,0.37411563268169584,-0.2982267486023784,-3.9297817094092244
label,Consolidation,sensitivity,0.5365853658536455,0.19428571428571317,0.3422996515679323,0.6379220779220712
label,Consolidation,specificity,0.6833810888252139,0.9515151515151503,-0.26813406268993645,-0.39236389047709835
label,Consolidation,f1,0.1549295774647881,0.27309236947791055,-0.11816279201312244,-0.7626871120847024
label,Consolidation,accuracy,0.675236806495263,0.8189999999999992,-0.1437631935047362,-0.21290781563126293
label,Consolidation,ppv,0.0905349794238679,0.45945945945945327,-0.36892448003558537,-4.07493857493853
label,Consolidation,npv,0.9616935483870948,0.847732181425485,0.11396136696160974,0.11850070862255462
label,Edema,auroc,0.7938305709023941,,,
label,Edema,auprc,0.0590740987421784,,,
label,Edema,sensitivity,0.5333333333332978,0.0,0.5333333333332978,1.0
label,Edema,specificity,0.8784530386740319,0.998999999999999,-0.1205469613259671,-0.13722641509434008
label,Edema,f1,0.1441441441441428,0.0,0.1441441441441428,1.0
label,Edema,accuracy,0.8714479025710408,0.998999999999999,-0.12755209742895823,-0.14636801242236067
label,Edema,ppv,0.0833333333333324,0.0,0.0833333333333324,1.0
label,Edema,npv,0.9891135303265924,0.999999999999999,-0.010886469673406562,-0.011006289308176778
label,Pneumonia,auroc,0.64469610558905,,,
label,Pneumonia,auprc,0.0369883678314365,,,
label,Pneumonia,sensitivity,0.235294117647045,0.0,0.235294117647045,1.0
label,Pneumonia,specificity,0.8421052631578936,0.991999999999999,-0.1498947368421054,-0.17800000000000044
label,Pneumonia,f1,0.0592592592592588,0.0,0.0592592592592588,1.0
label,Pneumonia,accuracy,0.8281461434370759,0.991999999999999,-0.16385385656292306,-0.1978562091503273
label,Pneumonia,ppv,0.0338983050847454,0.0,0.0338983050847454,1.0
label,Pneumonia,npv,0.9790660225442818,0.999999999999999,-0.020933977455717234,-0.02138157894736912
label,No Finding,auroc,0.676007326007326,0.8464287480832962,-0.1704214220759701,-0.252099963298509
label,No Finding,auprc,0.6616926651728678,0.7815746977728902,-0.11988203260002239,-0.1811747944473634
label,No Finding,sensitivity,0.7679999999999979,0.9879227053140072,-0.21992270531400926,-0.28635768921095034
label,No Finding,specificity,0.4642857142857129,0.20136518771331022,0.2629205265724027,0.5662903649251768
label,No Finding,f1,0.6713286713286706,0.6336173508907819,0.03771132043788872,0.056174154402271796
label,No Finding,accuracy,0.6184032476319342,0.5269999999999995,0.09140324763193475,0.14780525164113756
label,No Finding,ppv,0.5962732919254645,0.46636259977194927,0.12991069215351525,0.21787105663245834
label,No Finding,npv,0.6601562499999973,0.9593495934959272,-0.29919334349592985,-0.45321595227786005
macro,macro,auroc,0.6802725155959937,0.7425450139696842,-0.06227249837369053,-0.09154051787485926
macro,macro,auprc,0.2135116532463062,0.434329948062806,-0.2208182948164998,-1.0342212776637756
macro,macro,sensitivity,0.4516357706862384,0.32127956182287576,0.13035620886336263,0.28863127618366624
macro,macro,specificity,0.7715992179014645,0.8161018926357517,-0.04450267473428726,-0.05767589404162717
macro,macro,f1,0.2502401448880938,0.26830131679197555,-0.018061171903881734,-0.07217535744298183
macro,macro,accuracy,0.7723274695534497,0.7954999999999992,-0.023172530446549544,-0.03000350416119165
macro,macro,ppv,0.1945280712786067,0.2981274513143317,-0.10359938003572502,-0.532567764409426
macro,macro,npv,0.9164010866518966,0.9057125470022276,0.010688539649668982,0.011663604294403378
micro,micro,auroc,0.7719813589152476,0.8390595626502807,-0.06707820373503315,-0.08689096305290109
micro,micro,auprc,0.3460360215542478,0.5288568518145502,-0.18282083026030244,-0.5283288989370194
micro,micro,sensitivity,0.6162464985994389,0.5495160089352192,0.06673048966421968,0.10828538550057482
micro,micro,specificity,0.7937668333974605,0.8451254318762204,-0.0513585984787599,-0.06470237394391516
micro,micro,f1,0.3953279424977536,0.47429305912596387,-0.07896511662821026,-0.19974585183454108
micro,micro,accuracy,0.7723274695534504,0.7954999999999999,-0.023172530446549433,-0.030003504161191477
micro,micro,ppv,0.2910052910052908,0.4171848501978517,-0.12617955919256085,-0.4335988488617094
micro,micro,npv,0.9377272727272724,0.9029048306852832,0.034822442041989254,0.037134935769450504


